,symbol,available_days,first_trading_day,last_trading_day
396,BYKE,943,2020-01-01,2024-11-13
397,CADILAHC,534,2020-01-01,2022-03-04
398,CALSOFT,801,2020-01-01,2025-01-22
399,CAMLINFINE,1273,2020-01-01,2025-03-03
400,CAMPUS,698,2022-05-09,2025-03-03
401,CAMS,1089,2020-10-05,2025-03-03
402,CANBK,1273,2020-01-01,2025-03-03
403,CANFINHOME,1273,2020-01-01,2025-03-03
404,CANTABIL,1217,2020-01-01,2025-03-03
405,CAPACITE,1273,2020-01-01,2025-03-03
406,CAPITALSFB,259,2024-02-14,2025-03-03
407,CAPLIPOINT,1273,2020-01-01,2025-03-03
408,CAPTRUST,1147,2020-01-01,2025-03-03
409,CARBORUNIV,1273,2020-01-01,2025-03-03
410,CAREERP,1089,2020-01-01,2025-03-03
411,CARERATING,1273,2020-01-01,2025-03-03
412,CARRARO,46,2024-12-30,2025-03-03
413,CARTRADE,873,2021-08-20,2025-03-03
414,CARYSIL,566,2022-11-18,2025-03-03
415,CASTEXTECH,27,2020-03-04,2020-10-20
416,CASTROLIND,1273,2020-01-01,2025-03-03
417,CCCL,53,2020-08-10,2024-09-18
418,CCHHL,674,2020-02-24,2025-03-03
419,CCL,1273,2020-01-01,2025-03-03
420,CDSL,1209,2020-01-01,2025-03-03
421,CEATLTD,1273,2020-01-01,2025-03-03
422,CEBBCO,481,2020-01-01,2022-06-17
423,CEIGALL,142,2024-08-08,2025-03-03
424,CELEBRITY,1051,2020-01-01,2025-03-03
425,CELLO,327,2023-11-06,2025-03-03
426,CENTENKA,1273,2020-01-01,2025-03-03
427,CENTEXT,981,2020-01-01,2025-03-03
428,CENTRALBK,1273,2020-01-01,2025-03-03
429,CENTRUM,1273,2020-01-01,2025-03-03
430,CENTUM,1211,2020-01-01,2025-03-03
431,CENTURYPLY,1273,2020-01-01,2025-03-03
432,CENTURYTEX,1174,2020-01-01,2024-10-09
433,CERA,1273,2020-01-01,2025-03-03
434,CEREBRAINT,765,2020-05-27,2024-08-07
435,CESC,1273,2020-01-01,2025-03-03
436,CESCVENT,264,2020-01-01,2021-01-29
437,CEWATER,47,2024-12-27,2025-03-03
438,CGCL,1273,2020-01-01,2025-03-03
439,CGPOWER,1095,2020-02-13,2025-03-03
440,CHALET,1273,2020-01-01,2025-03-03
441,CHAMBLFERT,1273,2020-01-01,2025-03-03
442,CHEMBOND,1273,2020-01-01,2025-03-03
443,CHEMCON,1090,2020-10-01,2025-03-03
444,CHEMFAB,1223,2020-01-01,2025-03-03
445,CHEMPLASTS,871,2021-08-24,2025-03-03
446,CHENNPETRO,1273,2020-01-01,2025-03-03
447,CHEVIOT,668,2022-06-20,2025-03-03
448,CHOICEIN,716,2022-04-08,2025-03-03
449,CHOLAFIN,1273,2020-01-01,2025-03-03
450,CHOLAHLDNG,1271,2020-01-01,2025-03-03
451,CHROMATIC,15,2020-11-24,2020-12-16
452,CIEINDIA,422,2023-06-19,2025-03-03
453,CIGNITITEC,1273,2020-01-01,2025-03-03
454,CIMMCO,197,2020-01-01,2020-10-21
455,CINELINE,1046,2020-01-01,2024-12-30
456,CINEVISTA,908,2020-01-01,2025-03-03
457,CIPLA,1273,2020-01-01,2025-03-03
458,CKFSL,35,2020-01-01,2020-02-20
459,CLEAN,895,2021-07-19,2025-03-03
460,CLEDUCATE,1128,2020-01-01,2025-03-03
461,CLNINDIA,785,2020-01-01,2023-03-09
462,CLSEL,942,2021-05-12,2025-03-03
463,CMICABLES,659,2020-01-01,2023-04-19
