,symbol,date_timestamp,open,low,high,close,volume,expiry,expiry_type
36,NIFTY,2024-10-17 09:51:00,24898,24886,24898,24890,42275,2024-10-31 14:30:00,I
37,NIFTY,2024-10-17 09:52:00,24890,24886,24907,24899,22600,2024-10-31 14:30:00,I
38,NIFTY,2024-10-17 09:53:00,24902,24889,24902,24896,22775,2024-10-31 14:30:00,I
39,NIFTY,2024-10-17 09:54:00,24899,24881,24899,24881,19950,2024-10-31 14:30:00,I
40,NIFTY,2024-10-17 09:55:00,24884,24872,24895,24894,23875,2024-10-31 14:30:00,I
41,NIFTY,2024-10-17 09:56:00,24899,24895,24911,24899,23125,2024-10-31 14:30:00,I
42,NIFTY,2024-10-17 09:57:00,24900,24899,24911,24909,18175,2024-10-31 14:30:00,I
43,NIFTY,2024-10-17 09:58:00,24909,24899,24913,24903,19675,2024-10-31 14:30:00,I
44,NIFTY,2024-10-17 09:59:00,24903,24900,24905,24905,9400,2024-10-31 14:30:00,I
45,NIFTY,2024-10-17 10:00:00,24901,24890,24906,24899,12175,2024-10-31 14:30:00,I
46,NIFTY,2024-10-17 10:01:00,24897,24894,24910,24910,8150,2024-10-31 14:30:00,I
47,NIFTY,2024-10-17 10:02:00,24910,24902,24914,24908,12600,2024-10-31 14:30:00,I
48,NIFTY,2024-10-17 10:03:00,24908,24895,24908,24903,12675,2024-10-31 14:30:00,I
49,NIFTY,2024-10-17 10:04:00,24902,24896,24905,24896,10775,2024-10-31 14:30:00,I
50,NIFTY,2024-10-17 10:05:00,24896,24887,24900,24893,18850,2024-10-31 14:30:00,I
51,NIFTY,2024-10-17 10:06:00,24891,24890,24901,24901,9725,2024-10-31 14:30:00,I
52,NIFTY,2024-10-17 10:07:00,24901,24883,24901,24883,28625,2024-10-31 14:30:00,I
53,NIFTY,2024-10-17 10:08:00,24884,24875,24889,24885,16700,2024-10-31 14:30:00,I
54,NIFTY,2024-10-17 10:09:00,24885,24884,24896,24893,7525,2024-10-31 14:30:00,I
55,NIFTY,2024-10-17 10:10:00,24893,24890,24898,24897,9125,2024-10-31 14:30:00,I
56,NIFTY,2024-10-17 10:11:00,24897,24885,24897,24892,11425,2024-10-31 14:30:00,I
57,NIFTY,2024-10-17 10:12:00,24892,24886,24907,24905,10125,2024-10-31 14:30:00,I
58,NIFTY,2024-10-17 10:13:00,24902,24899,24907,24907,9325,2024-10-31 14:30:00,I
59,NIFTY,2024-10-17 10:14:00,24907,24900,24907,24906,7325,2024-10-31 14:30:00,I
60,NIFTY,2024-10-17 10:15:00,24905,24900,24914,24914,14625,2024-10-31 14:30:00,I
61,NIFTY,2024-10-17 10:16:00,24913,24910,24915,24912,8875,2024-10-31 14:30:00,I
62,NIFTY,2024-10-17 10:17:00,24912,24901,24915,24901,14925,2024-10-31 14:30:00,I
63,NIFTY,2024-10-17 10:18:00,24903,24891,24903,24899,13375,2024-10-31 14:30:00,I
64,NIFTY,2024-10-17 10:19:00,24895,24894,24899,24899,7400,2024-10-31 14:30:00,I
65,NIFTY,2024-10-17 10:20:00,24899,24890,24902,24890,8725,2024-10-31 14:30:00,I
66,NIFTY,2024-10-17 10:21:00,24890,24875,24890,24877,15625,2024-10-31 14:30:00,I
67,NIFTY,2024-10-17 10:22:00,24880,24870,24883,24875,14250,2024-10-31 14:30:00,I
68,NIFTY,2024-10-17 10:23:00,24872,24865,24874,24869,38550,2024-10-31 14:30:00,I
69,NIFTY,2024-10-17 10:24:00,24872,24871,24882,24874,16625,2024-10-31 14:30:00,I
70,NIFTY,2024-10-17 10:25:00,24880,24875,24885,24884,7725,2024-10-31 14:30:00,I
71,NIFTY,2024-10-17 10:26:00,24884,24884,24892,24891,9325,2024-10-31 14:30:00,I
72,NIFTY,2024-10-17 10:27:00,24891,24888,24897,24897,8275,2024-10-31 14:30:00,I
73,NIFTY,2024-10-17 10:28:00,24895,24895,24899,24897,10550,2024-10-31 14:30:00,I
74,NIFTY,2024-10-17 10:29:00,24897,24893,24906,24905,13675,2024-10-31 14:30:00,I
75,NIFTY,2024-10-17 10:30:00,24905,24897,24909,24903,11850,2024-10-31 14:30:00,I
76,NIFTY,2024-10-17 10:31:00,24903,24898,24907,24900,15225,2024-10-31 14:30:00,I
77,NIFTY,2024-10-17 10:32:00,24905,24900,24905,24902,7250,2024-10-31 14:30:00,I
78,NIFTY,2024-10-17 10:33:00,24902,24900,24904,24902,5975,2024-10-31 14:30:00,I
79,NIFTY,2024-10-17 10:34:00,24900,24896,24907,24902,6300,2024-10-31 14:30:00,I
80,NIFTY,2024-10-17 10:35:00,24902,24900,24908,24904,6400,2024-10-31 14:30:00,I
81,NIFTY,2024-10-17 10:36:00,24900,24899,24913,24913,7500,2024-10-31 14:30:00,I
82,NIFTY,2024-10-17 10:37:00,24914,24914,24929,24925,32750,2024-10-31 14:30:00,I
83,NIFTY,2024-10-17 10:38:00,24925,24916,24926,24917,14575,2024-10-31 14:30:00,I
84,NIFTY,2024-10-17 10:39:00,24917,24911,24920,24920,9600,2024-10-31 14:30:00,I
85,NIFTY,2024-10-17 10:40:00,24920,24915,24921,24920,5400,2024-10-31 14:30:00,I
86,NIFTY,2024-10-17 10:41:00,24920,24915,24922,24920,5500,2024-10-31 14:30:00,I
87,NIFTY,2024-10-17 10:42:00,24920,24914,24922,24915,7250,2024-10-31 14:30:00,I
88,NIFTY,2024-10-17 10:43:00,24917,24914,24921,24918,5450,2024-10-31 14:30:00,I
89,NIFTY,2024-10-17 10:44:00,24918,24916,24923,24917,10900,2024-10-31 14:30:00,I
90,NIFTY,2024-10-17 10:45:00,24917,24917,24920,24918,10550,2024-10-31 14:30:00,I
91,NIFTY,2024-10-17 10:46:00,24918,24910,24921,24915,5500,2024-10-31 14:30:00,I
92,NIFTY,2024-10-17 10:47:00,24917,24909,24918,24909,5250,2024-10-31 14:30:00,I
93,NIFTY,2024-10-17 10:48:00,24908,24906,24920,24920,5700,2024-10-31 14:30:00,I
94,NIFTY,2024-10-17 10:49:00,24919,24911,24921,24918,5725,2024-10-31 14:30:00,I
95,NIFTY,2024-10-17 10:50:00,24913,24912,24919,24915,4325,2024-10-31 14:30:00,I
96,NIFTY,2024-10-17 10:51:00,24916,24915,24920,24919,2800,2024-10-31 14:30:00,I
97,NIFTY,2024-10-17 10:52:00,24919,24915,24921,24917,4075,2024-10-31 14:30:00,I
98,NIFTY,2024-10-17 10:53:00,24917,24909,24917,24914,4400,2024-10-31 14:30:00,I
